Metric,Avg,Min,Max,Unit
Address Processing Unit Busy,1.36,0.0,4.56,Pct
Address Stall,0.01,0.0,0.03,Pct
Data Stall,0.17,0.0,0.55,Pct
Data-Processor → Address Stall,0.01,0.0,0.04,Pct
Total Instructions,700.22,2.0,1757.75,Instructions per wave
Global/Generic Instructions,700.22,2.0,1757.75,Instructions per wave
Global/Generic Read Instructions,375.03,0.0,942.75,Instructions per wave
Global/Generic Write Instructions,325.19,2.0,815.0,Instructions per wave
Global/Generic Atomic Instructions,0.0,0.0,0.0,Instructions per wave
Spill/Stack Instructions,0.0,0.0,0.0,Instructions per wave
Spill/Stack Read Instructions,0.0,0.0,0.0,Instructions per wave
Spill/Stack Write Instructions,0.0,0.0,0.0,Instructions per wave
Spill/Stack Atomic Instructions,0.0,0.0,0.0,Instructions per wave
Spill/Stack Total Cycles,0.0,0.0,0.0,Cycles per wave
Spill/Stack Coalesced Read,0.0,0.0,0.0,Cycles per wave
Spill/Stack Coalesced Write,0.0,0.0,0.0,Cycles per wave
