Channel,Min,Q1,Median,Q3,Max
0.0,0.0,0.0,4.12,15.97,41.68
1.0,0.0,0.0,4.62,16.66,41.34
2.0,0.0,0.0,4.12,15.98,41.48
3.0,0.0,0.0,4.5,16.5,41.31
4.0,0.0,0.0,3.75,15.39,41.4
5.0,0.0,0.0,4.75,16.88,41.42
6.0,0.0,0.0,4.0,15.78,41.52
7.0,0.0,0.0,4.5,16.45,41.27
8.0,0.0,0.0,4.38,16.34,41.43
9.0,0.0,0.0,4.88,17.06,41.36
10.0,0.0,0.0,4.5,16.53,41.53
11.0,0.0,0.0,4.88,17.41,41.26
12.0,0.0,0.0,4.62,16.75,41.7
13.0,0.0,0.0,5.12,17.39,41.25
14.0,0.0,0.0,4.62,16.71,41.52
15.0,0.0,0.0,4.62,16.69,41.27
16.0,,,,,
17.0,,,,,
18.0,,,,,
19.0,,,,,
20.0,,,,,
21.0,,,,,
22.0,,,,,
23.0,,,,,
24.0,,,,,
25.0,,,,,
26.0,,,,,
27.0,,,,,
28.0,,,,,
29.0,,,,,
30.0,,,,,
31.0,,,,,
32.0,,,,,
33.0,,,,,
34.0,,,,,
35.0,,,,,
36.0,,,,,
37.0,,,,,
38.0,,,,,
39.0,,,,,
40.0,,,,,
41.0,,,,,
42.0,,,,,
43.0,,,,,
44.0,,,,,
45.0,,,,,
46.0,,,,,
47.0,,,,,
48.0,,,,,
49.0,,,,,
50.0,,,,,
51.0,,,,,
52.0,,,,,
53.0,,,,,
54.0,,,,,
55.0,,,,,
56.0,,,,,
57.0,,,,,
58.0,,,,,
59.0,,,,,
60.0,,,,,
61.0,,,,,
62.0,,,,,
63.0,,,,,
