Channel,Min,Q1,Median,Q3,Max
0.0,50.0,59.03,78.2,79.43,92.21
1.0,50.0,59.14,78.47,80.11,92.07
2.0,50.0,59.04,78.17,79.05,91.88
3.0,50.0,59.01,78.44,80.88,91.94
4.0,48.53,59.13,78.05,78.37,91.07
5.0,49.25,58.97,78.4,79.33,90.99
6.0,50.0,59.08,78.22,79.86,91.01
7.0,49.62,59.06,78.45,80.85,91.05
8.0,50.0,59.05,77.99,78.53,92.43
9.0,50.0,59.16,78.39,82.43,92.15
10.0,50.0,59.09,77.78,78.45,92.65
11.0,50.0,59.06,78.43,82.33,92.26
12.0,48.18,59.16,77.35,78.25,91.08
13.0,49.24,59.01,78.45,81.06,90.91
14.0,50.0,59.1,77.73,78.43,90.9
15.0,50.0,59.11,78.47,81.36,90.96
16.0,,,,,
17.0,,,,,
18.0,,,,,
19.0,,,,,
20.0,,,,,
21.0,,,,,
22.0,,,,,
23.0,,,,,
24.0,,,,,
25.0,,,,,
26.0,,,,,
27.0,,,,,
28.0,,,,,
29.0,,,,,
30.0,,,,,
31.0,,,,,
32.0,,,,,
33.0,,,,,
34.0,,,,,
35.0,,,,,
36.0,,,,,
37.0,,,,,
38.0,,,,,
39.0,,,,,
40.0,,,,,
41.0,,,,,
42.0,,,,,
43.0,,,,,
44.0,,,,,
45.0,,,,,
46.0,,,,,
47.0,,,,,
48.0,,,,,
49.0,,,,,
50.0,,,,,
51.0,,,,,
52.0,,,,,
53.0,,,,,
54.0,,,,,
55.0,,,,,
56.0,,,,,
57.0,,,,,
58.0,,,,,
59.0,,,,,
60.0,,,,,
61.0,,,,,
62.0,,,,,
63.0,,,,,
