Channel,Min,Q1,Median,Q3,Max
0.0,0.5,7.1,90.88,202.62,332.86
1.0,0.5,7.12,98.12,232.14,332.41
2.0,0.5,7.16,91.38,202.66,331.56
3.0,0.52,7.16,103.75,231.58,333.34
4.0,0.52,7.27,87.88,198.75,331.61
5.0,0.52,7.26,95.38,231.84,331.99
6.0,0.54,7.1,90.88,201.64,333.51
7.0,0.52,7.11,100.0,230.54,331.28
8.0,0.5,7.1,89.0,203.19,332.13
9.0,0.5,7.12,95.75,234.46,332.74
10.0,0.5,7.15,92.25,203.58,333.83
11.0,0.52,7.16,101.75,233.3,331.72
12.0,0.52,7.27,87.88,201.75,332.39
13.0,0.52,7.26,96.38,232.6,332.03
14.0,0.54,7.1,90.38,202.34,330.96
15.0,0.52,7.1,102.75,231.57,333.1
